100;Steven;King;President;1987-06-17;Steven;24000.00;515.123.4567;Executive;Executive;2004 Charade Rd;Seattle
101;Neena;Kochhar;Administration Vice President;1989-09-21;Neena;17000.00;515.123.4568;Executive;Executive;2004 Charade Rd;Seattle
102;Lex;De Haan;Administration Vice President;1993-01-13;Lex;17000.00;515.123.4569;Executive;Executive;2004 Charade Rd;Seattle
103;Alexander;Hunold;Programmer;1990-01-03;Alexander;9500.00;590.423.4567;IT;IT;2014 Jabberwocky Rd;Southlake
104;Bruce;Ernst;Programmer;1991-05-21;Bruce;6500.00;590.423.4568;IT;IT;2014 Jabberwocky Rd;Southlake
105;David;Austin;Programmer;1997-06-25;David;5300.00;590.423.4569;IT;IT;2014 Jabberwocky Rd;Southlake
106;Valli;Pataballa;Programmer;1998-02-05;Valli;5300.00;590.423.4560;IT;IT;2014 Jabberwocky Rd;Southlake
107;Diana;Lorentz;Programmer;1999-02-07;Diana;4700.00;590.423.5567;IT;IT;2014 Jabberwocky Rd;Southlake
108;Nancy;Greenberg;Finance Manager;1994-08-17;Nancy;12000.00;515.124.4569;Finance;Finance;2004 Charade Rd;Seattle
109;Daniel;Faviet;Accountant;1994-08-16;Daniel;9000.00;515.124.4169;Finance;Finance;2004 Charade Rd;Seattle
110;John;Chen;Accountant;1997-09-28;John;8200.00;515.124.4269;Finance;Finance;2004 Charade Rd;Seattle
111;Ismael;Sciarra;Accountant;1997-09-30;Ismael;7700.00;515.124.4369;Finance;Finance;2004 Charade Rd;Seattle
112;Jose Manuel;Urman;Programmer;1998-03-07;Jose Manuel;8300.00;515.124.4469;IT;IT;2014 Jabberwocky Rd;Southlake
113;Luis;Popp;Accountant;1999-12-07;Luis;6900.00;515.124.4567;Finance;Finance;2004 Charade Rd;Seattle
114;Den;Raphaely;Purchasing Manager;1994-12-07;Den;11000.00;515.127.4561;Purchasing;Purchasing;2004 Charade Rd;Seattle
115;Alexander;Khoo;Purchasing Clerk;1995-05-18;Alexander;3100.00;515.127.4562;Purchasing;Purchasing;2004 Charade Rd;Seattle
116;Shelli;Baida;Purchasing Clerk;1997-12-24;Shelli;2900.00;515.127.4563;Purchasing;Purchasing;2004 Charade Rd;Seattle
117;Sigal;Tobias;Purchasing Clerk;1997-07-24;Sigal;2800.00;515.127.4564;Purchasing;Purchasing;2004 Charade Rd;Seattle
118;Guy;Himuro;Purchasing Clerk;1998-11-15;Guy;2600.00;515.127.4565;Purchasing;Purchasing;2004 Charade Rd;Seattle
119;Karen;Colmenares;Purchasing Clerk;1999-08-10;Karen;2500.00;515.127.4566;Purchasing;Purchasing;2004 Charade Rd;Seattle
120;Matthew;Weiss;Stock Manager;1996-07-18;Matthew;8000.00;650.123.1234;Shipping;Shipping;2011 Interiors Blvd;South San Francisco
121;Adam;Fripp;Stock Manager;1997-04-10;Adam;8200.00;650.123.2234;Shipping;Shipping;2011 Interiors Blvd;South San Francisco
122;Payam;Kaufling;Stock Manager;1995-05-01;Payam;7900.00;650.123.3234;Shipping;Shipping;2011 Interiors Blvd;South San Francisco
123;Shanta;Vollman;Stock Manager;1997-10-10;Shanta;6500.00;650.123.4234;Shipping;Shipping;2011 Interiors Blvd;South San Francisco
124;Kevin;Mourgos;Stock Manager;1999-11-16;Kevin;5800.00;650.123.5234;Shipping;Shipping;2011 Interiors Blvd;South San Francisco
125;Julia;Nayer;Stock Clerk;1997-07-16;Julia;3200.00;650.124.1214;Shipping;Shipping;2011 Interiors Blvd;South San Francisco
