100;Steven;King;President;1987-06-17;24000.00;515.123.4567;Executive;2004 Charade Rd;Seattle
101;Neena;Kochhar;Administration Vice President;1989-09-21;17000.00;515.123.4568;Executive;2004 Charade Rd;Seattle
102;Lex;De Haan;Administration Vice President;1993-01-13;17000.00;515.123.4569;Executive;2004 Charade Rd;Seattle
103;Alexander;Hunold;Programmer;1990-01-03;9000.00;590.423.4567;IT;2014 Jabberwocky Rd;Southlake
104;Bruce;Ernst;Programmer;1991-05-21;6000.00;590.423.4568;IT;2014 Jabberwocky Rd;Southlake
105;David;Austin;Programmer;1997-06-25;4800.00;590.423.4569;IT;2014 Jabberwocky Rd;Southlake
106;Valli;Pataballa;Programmer;1998-02-05;4800.00;590.423.4560;IT;2014 Jabberwocky Rd;Southlake
107;Diana;Lorentz;Programmer;1999-02-07;4200.00;590.423.5567;IT;2014 Jabberwocky Rd;Southlake
108;Nancy;Greenberg;Finance Manager;1994-08-17;12000.00;515.124.4569;Finance;2004 Charade Rd;Seattle
109;Daniel;Faviet;Accountant;1994-08-16;9000.00;515.124.4169;Finance;2004 Charade Rd;Seattle
110;John;Chen;Accountant;1997-09-28;8200.00;515.124.4269;Finance;2004 Charade Rd;Seattle
111;Ismael;Sciarra;Accountant;1997-09-30;7700.00;515.124.4369;Finance;2004 Charade Rd;Seattle
112;Jose Manuel;Urman;Programmer;1998-03-07;7800.00;515.124.4469;IT;2014 Jabberwocky Rd;Southlake
113;Luis;Popp;Accountant;1999-12-07;6900.00;515.124.4567;Finance;2004 Charade Rd;Seattle
114;Den;Raphaely;Purchasing Manager;1994-12-07;11000.00;515.127.4561;Purchasing;2004 Charade Rd;Seattle
115;Alexander;Khoo;Purchasing Clerk;1995-05-18;3100.00;515.127.4562;Purchasing;2004 Charade Rd;Seattle
116;Shelli;Baida;Purchasing Clerk;1997-12-24;2900.00;515.127.4563;Purchasing;2004 Charade Rd;Seattle
117;Sigal;Tobias;Purchasing Clerk;1997-07-24;2800.00;515.127.4564;Purchasing;2004 Charade Rd;Seattle
118;Guy;Himuro;Purchasing Clerk;1998-11-15;2600.00;515.127.4565;Purchasing;2004 Charade Rd;Seattle
119;Karen;Colmenares;Purchasing Clerk;1999-08-10;2500.00;515.127.4566;Purchasing;2004 Charade Rd;Seattle
120;Matthew;Weiss;Stock Manager;1996-07-18;8000.00;650.123.1234;Shipping;2011 Interiors Blvd;South San Francisco
121;Adam;Fripp;Stock Manager;1997-04-10;8200.00;650.123.2234;Shipping;2011 Interiors Blvd;South San Francisco
122;Payam;Kaufling;Stock Manager;1995-05-01;7900.00;650.123.3234;Shipping;2011 Interiors Blvd;South San Francisco
123;Shanta;Vollman;Stock Manager;1997-10-10;6500.00;650.123.4234;Shipping;2011 Interiors Blvd;South San Francisco
124;Kevin;Mourgos;Stock Manager;1999-11-16;5800.00;650.123.5234;Shipping;2011 Interiors Blvd;South San Francisco
125;Julia;Nayer;Stock Clerk;1997-07-16;3200.00;650.124.1214;Shipping;2011 Interiors Blvd;South San Francisco
126;Irene;Mikkilineni;Stock Clerk;1998-09-28;2700.00;650.124.1224;Shipping;2011 Interiors Blvd;South San Francisco
127;James;Landry;Stock Clerk;1999-01-14;2400.00;650.124.1334;Shipping;2011 Interiors Blvd;South San Francisco
128;Steven;Markle;Stock Clerk;2000-03-08;2200.00;650.124.1434;Shipping;2011 Interiors Blvd;South San Francisco
129;Laura;Bissot;Stock Clerk;1997-08-20;3300.00;650.124.5234;Shipping;2011 Interiors Blvd;South San Francisco
130;Mozhe;Atkinson;Stock Clerk;1997-10-30;2800.00;650.124.6234;Shipping;2011 Interiors Blvd;South San Francisco
131;James;Marlow;Stock Clerk;1997-02-16;2500.00;650.124.7234;Shipping;2011 Interiors Blvd;South San Francisco
132;TJ;Olson;Stock Clerk;1999-04-10;2100.00;650.124.8234;Shipping;2011 Interiors Blvd;South San Francisco
133;Jason;Mallin;Stock Clerk;1996-06-14;3300.00;650.127.1934;Shipping;2011 Interiors Blvd;South San Francisco
134;Michael;Rogers;Stock Clerk;1998-08-26;2900.00;650.127.1834;Shipping;2011 Interiors Blvd;South San Francisco
135;Ki;Gee;Stock Clerk;1999-12-12;2400.00;650.127.1734;Shipping;2011 Interiors Blvd;South San Francisco
136;Hazel;Philtanker;Stock Clerk;2000-02-06;2200.00;650.127.1634;Shipping;2011 Interiors Blvd;South San Francisco
137;Renske;Ladwig;Stock Clerk;1995-07-14;3600.00;650.121.1234;Shipping;2011 Interiors Blvd;South San Francisco
138;Stephen;Stiles;Stock Clerk;1997-10-26;3200.00;650.121.2034;Shipping;2011 Interiors Blvd;South San Francisco
139;John;Seo;Stock Clerk;1998-02-12;2700.00;650.121.2019;Shipping;2011 Interiors Blvd;South San Francisco
140;Joshua;Patel;Stock Clerk;1998-04-06;2500.00;650.121.1834;Shipping;2011 Interiors Blvd;South San Francisco
141;Trenna;Rajs;Stock Clerk;1995-10-17;3500.00;650.121.8009;Shipping;2011 Interiors Blvd;South San Francisco
142;Curtis;Davies;Stock Clerk;1997-01-29;3100.00;650.121.2994;Shipping;2011 Interiors Blvd;South San Francisco
